StudentID,DeviceType,Study_Hours,Engagement_Score,Performance_Rating,Department,AgeGroup,Region,Internet_Performance_Impact
41,Desktop,6.7,62.85,72.25,Arts,18-22,East,0.3
42,Laptop,5.5,73.73,78.36,Engineering,23-30,West,4.44
43,Desktop,6.2,79.72,79.48,Medical,18-22,East,-5.35
44,Smartphone,3.6,55.87,65.17,Arts,23-30,South,-9.77
45,Smartphone,3.2,80.05,72.6,Engineering,Under 18,West,1.02
46,Laptop,6.4,82.62,76.19,Medical,Under 18,North,-9.9
47,Smartphone,3.3,55.84,73.43,Business,23-30,West,3.09
48,Hybrid Device,6.3,63.75,73.18,Engineering,18-22,North,-9.16
49,Smartphone,4.3,70.17,74.26,Business,Under 18,East,-0.21
50,Desktop,6.6,76.18,73.79,Engineering,Under 18,Central,-4.34
51,Desktop,5.3,72.49,76.23,Sciences,23-30,West,-6.95
52,Desktop,6.6,72.57,78.71,Business,23-30,West,3.47
53,Desktop,7.0,53.19,73.9,Business,23-30,South,1.19
54,Hybrid Device,6.7,55.11,75.11,Business,23-30,South,-4.89
55,Tablet,5.5,60.2,74.53,Arts,23-30,North,-5.74
56,Laptop,6.3,69.52,80.36,Medical,23-30,Central,1.04
57,Desktop,5.8,65.3,79.95,Business,23-30,South,2.55
58,Smartphone,4.5,70.28,71.42,Business,18-22,South,0.74
59,Desktop,6.4,71.84,73.62,Arts,18-22,East,-0.4
60,Smartphone,4.3,61.92,69.97,Arts,18-22,East,-6.58
61,Smartphone,4.6,69.55,70.18,Sciences,18-22,South,2.79
62,Desktop,5.9,84.88,81.72,Engineering,Under 18,North,1.24
63,Hybrid Device,5.2,61.77,79.65,Business,18-22,Central,-2.24
64,Smartphone,4.1,77.79,75.83,Engineering,Under 18,South,-2.33
65,Smartphone,3.5,74.43,74.54,Arts,Under 18,North,-1.46
66,Desktop,5.8,78.1,66.41,Arts,Under 18,North,2.42
67,Smartphone,3.0,64.35,75.44,Sciences,23-30,South,1.13
68,Smartphone,3.8,78.66,76.92,Medical,Under 18,North,2.84
69,Desktop,6.6,82.78,67.47,Arts,Under 18,West,-2.39
70,Desktop,6.1,75.85,77.79,Business,Under 18,North,-0.63
71,Laptop,5.0,62.91,73.02,Sciences,23-30,South,2.82
72,Hybrid Device,5.9,60.22,75.07,Medical,18-22,North,-6.52
73,Hybrid Device,5.6,75.79,73.31,Sciences,18-22,South,-3.34
74,Smartphone,4.0,73.89,67.28,Arts,Under 18,East,-0.69
75,Hybrid Device,5.8,82.25,81.83,Medical,Under 18,South,3.73
76,Smartphone,4.9,65.31,73.94,Engineering,18-22,North,-9.76
77,Laptop,5.1,60.22,83.42,Medical,18-22,South,-6.81
78,Desktop,6.4,63.1,72.67,Business,18-22,Central,-6.48
79,Desktop,6.7,79.71,75.93,Engineering,18-22,South,-5.1
80,Desktop,6.9,74.8,74.98,Engineering,Under 18,South,-5.77
81,Hybrid Device,5.4,71.63,76.44,Business,Under 18,Central,-1.15
82,Laptop,6.1,71.78,73.01,Engineering,Under 18,Central,3.28
83,Hybrid Device,5.1,66.21,69.78,Arts,18-22,Central,-0.45
84,Hybrid Device,6.0,50.94,78.34,Medical,23-30,West,-6.38
85,Laptop,5.3,70.23,83.84,Medical,18-22,South,2.96
86,Laptop,6.7,64.27,70.73,Business,18-22,Central,-0.52
87,Laptop,5.2,62.98,73.3,Arts,23-30,Central,-6.72
88,Laptop,6.0,53.52,73.68,Engineering,23-30,East,-4.58
89,Desktop,6.0,68.6,75.89,Medical,18-22,West,1.85
90,Tablet,5.9,64.95,77.02,Medical,23-30,South,1.08
91,Tablet,5.3,51.55,76.03,Medical,23-30,North,-1.35
92,Laptop,5.6,59.97,80.21,Medical,23-30,West,-7.83
93,Tablet,4.5,66.05,77.91,Sciences,18-22,West,2.05
94,Tablet,4.3,64.81,70.34,Business,18-22,East,-5.39
95,Laptop,6.5,65.11,76.61,Engineering,23-30,South,1.57
96,Tablet,5.4,78.83,75.86,Engineering,Under 18,South,-0.29
97,Hybrid Device,6.2,65.77,73.4,Business,23-30,Central,-6.04
98,Smartphone,3.1,53.97,68.32,Arts,23-30,Central,-6.81
99,Smartphone,4.5,65.71,78.95,Business,18-22,West,-8.04
100,Laptop,6.3,73.15,75.19,Medical,Under 18,East,-6.37
101,Desktop,6.9,63.51,82.75,Medical,23-30,South,-7.63
102,Laptop,6.2,76.92,72.53,Business,Under 18,East,-0.74
103,Desktop,5.6,66.61,73.83,Business,18-22,North,-1.02
104,Smartphone,3.8,81.79,76.2,Engineering,Under 18,South,-1.21
105,Laptop,5.4,61.88,75.05,Engineering,18-22,Central,-0.37
106,Hybrid Device,6.4,74.37,70.75,Sciences,23-30,West,2.22
107,Tablet,5.4,62.33,70.91,Sciences,18-22,East,3.7
108,Desktop,5.4,81.6,77.98,Medical,Under 18,Central,-6.54
109,Tablet,4.3,75.52,76.57,Sciences,Under 18,West,-1.18
110,Tablet,4.2,82.98,71.08,Sciences,Under 18,Central,-8.82
111,Laptop,6.8,51.85,72.43,Arts,23-30,South,-8.2
112,Tablet,4.5,75.62,72.89,Business,Under 18,East,-0.18
113,Hybrid Device,5.7,75.03,80.83,Engineering,Under 18,North,-2.7
114,Tablet,4.6,84.9,73.43,Sciences,Under 18,Central,1.37
115,Laptop,5.8,79.71,73.72,Engineering,18-22,East,-3.61
116,Hybrid Device,6.4,72.85,77.89,Sciences,Under 18,South,-8.09
117,Smartphone,4.7,72.6,71.41,Sciences,18-22,Central,3.08
118,Tablet,4.4,78.03,80.68,Medical,Under 18,South,-8.76
119,Laptop,6.4,63.09,70.69,Arts,18-22,North,-7.17
120,Smartphone,3.7,63.36,73.73,Business,18-22,North,-5.85
121,Smartphone,5.0,74.73,79.51,Business,23-30,West,4.93
122,Desktop,5.6,61.32,83.44,Medical,23-30,West,-3.75
123,Hybrid Device,5.0,62.52,83.3,Medical,18-22,West,-2.47
124,Tablet,5.0,64.3,79.74,Business,18-22,South,1.55
125,Laptop,5.3,56.71,74.57,Business,23-30,West,-0.45
126,Desktop,5.1,70.22,65.97,Arts,18-22,East,2.62
127,Hybrid Device,6.4,58.39,76.12,Sciences,23-30,South,-2.7
128,Desktop,6.5,61.38,68.81,Arts,23-30,South,4.58
129,Hybrid Device,5.9,72.5,71.9,Business,Under 18,West,1.95
130,Hybrid Device,6.4,74.9,73.87,Sciences,Under 18,West,-3.98
131,Tablet,5.1,51.76,79.26,Business,23-30,South,-4.28
132,Hybrid Device,6.3,72.24,66.71,Arts,23-30,North,3.94
133,Desktop,6.2,63.98,73.49,Arts,18-22,North,0.27
134,Hybrid Device,6.3,68.92,69.18,Arts,23-30,West,-0.68
135,Tablet,4.4,58.74,71.09,Sciences,23-30,North,1.37
136,Tablet,4.5,77.12,80.48,Engineering,Under 18,East,-1.59
137,Desktop,5.9,57.28,81.7,Engineering,23-30,East,-7.61
138,Smartphone,3.9,73.93,72.91,Business,18-22,East,-5.21
139,Smartphone,4.5,71.11,72.43,Sciences,23-30,South,-1.63
140,Hybrid Device,5.7,74.29,78.91,Medical,Under 18,South,-9.73
141,Laptop,5.3,73.63,80.14,Engineering,Under 18,South,-3.44
142,Hybrid Device,5.5,80.22,70.08,Sciences,Under 18,South,1.34
143,Desktop,5.4,72.93,71.79,Sciences,Under 18,South,-7.54
144,Desktop,6.5,66.0,79.06,Engineering,23-30,West,-9.03
145,Desktop,5.9,61.89,73.25,Sciences,18-22,North,2.54
146,Desktop,6.4,72.4,72.64,Sciences,18-22,West,-0.74
147,Desktop,5.8,70.27,80.72,Engineering,18-22,North,-7.35
148,Tablet,5.8,52.85,74.17,Arts,23-30,West,2.09
149,Smartphone,5.0,66.23,79.48,Business,23-30,East,-0.13
150,Desktop,6.3,61.16,77.73,Medical,23-30,Central,-4.99
151,Laptop,6.7,64.34,79.13,Business,18-22,South,-4.36
152,Laptop,6.0,58.83,72.37,Arts,23-30,Central,-7.66
153,Laptop,6.9,62.3,66.54,Arts,23-30,Central,2.53
154,Laptop,6.7,71.37,74.88,Sciences,Under 18,East,-2.36
155,Tablet,6.0,84.36,70.26,Business,Under 18,Central,-1.64
156,Laptop,6.2,73.31,72.08,Arts,18-22,Central,3.25
157,Desktop,6.6,71.54,77.34,Business,Under 18,East,-9.76
158,Hybrid Device,6.1,82.34,72.89,Arts,Under 18,North,-9.0
159,Laptop,5.5,74.84,76.73,Medical,Under 18,West,-7.58
160,Tablet,4.7,64.92,71.28,Arts,23-30,Central,-9.55
161,Tablet,5.8,74.16,71.79,Business,Under 18,South,-0.13
162,Laptop,5.1,81.0,77.57,Sciences,Under 18,East,-0.49
163,Hybrid Device,6.2,80.85,76.75,Business,Under 18,Central,-6.84
164,Laptop,5.7,63.8,72.95,Engineering,23-30,North,-7.76
165,Tablet,4.8,64.82,71.87,Business,18-22,North,-7.81
166,Smartphone,4.8,56.34,81.63,Medical,23-30,South,4.3
167,Desktop,6.7,59.57,79.77,Medical,23-30,Central,0.4
168,Tablet,5.2,72.18,82.36,Medical,Under 18,South,-1.22
169,Laptop,5.5,66.75,67.81,Arts,18-22,North,-5.16
170,Desktop,6.0,80.27,81.58,Medical,Under 18,North,-3.5
171,Laptop,5.8,82.46,71.77,Business,Under 18,West,-8.66
172,Laptop,5.7,66.65,74.35,Sciences,18-22,North,4.97
173,Smartphone,3.2,64.67,84.58,Medical,18-22,East,1.33
174,Desktop,6.1,70.82,76.28,Business,23-30,West,-0.68
175,Desktop,5.6,77.81,65.5,Arts,18-22,South,-1.18
176,Smartphone,4.3,60.25,74.89,Arts,23-30,North,-2.44
177,Tablet,4.6,50.67,71.25,Sciences,23-30,East,-6.14
178,Laptop,5.9,80.42,75.74,Sciences,Under 18,West,-6.6
179,Hybrid Device,5.1,81.76,75.33,Business,Under 18,East,-1.76
180,Laptop,7.0,70.27,72.35,Sciences,Under 18,West,-8.95
181,Laptop,6.0,71.9,71.42,Sciences,18-22,West,-8.88
182,Tablet,4.0,71.77,66.78,Arts,18-22,West,-1.59
183,Laptop,6.1,59.47,78.58,Business,23-30,South,3.8
184,Smartphone,4.7,68.74,76.98,Sciences,23-30,West,3.71
185,Smartphone,4.5,60.7,74.65,Business,23-30,West,-9.84
186,Desktop,6.4,73.54,76.04,Medical,18-22,East,-8.39
187,Hybrid Device,5.3,62.93,73.84,Arts,23-30,West,-1.25
188,Laptop,6.3,56.21,69.87,Arts,23-30,South,2.73
189,Laptop,6.5,72.13,69.39,Arts,18-22,East,4.32
190,Tablet,5.1,81.05,76.07,Engineering,Under 18,West,2.91
191,Smartphone,4.8,79.48,73.65,Business,18-22,East,0.16
192,Hybrid Device,5.6,59.5,80.26,Medical,23-30,South,-6.99
193,Desktop,5.5,70.97,74.84,Sciences,Under 18,East,-8.91
194,Smartphone,4.7,79.76,79.66,Medical,18-22,South,-9.29
195,Desktop,6.3,79.36,78.97,Business,Under 18,North,-0.82
196,Tablet,4.0,84.2,68.18,Arts,Under 18,West,-9.46
197,Tablet,4.7,52.6,77.78,Engineering,23-30,South,1.09
198,Laptop,6.7,66.84,73.0,Business,18-22,West,0.69
199,Hybrid Device,5.1,53.35,77.53,Business,23-30,South,-8.81
200,Desktop,5.0,76.71,70.82,Sciences,18-22,Central,3.6
201,Smartphone,3.6,77.61,76.89,Medical,18-22,Central,-2.17
202,Tablet,5.8,70.03,83.01,Medical,18-22,Central,3.57
203,Laptop,6.8,72.8,71.47,Sciences,Under 18,South,3.52
204,Laptop,6.0,71.91,78.26,Engineering,Under 18,West,-7.04
205,Desktop,6.1,64.7,74.7,Arts,23-30,Central,-4.29
206,Tablet,4.7,70.13,70.23,Arts,18-22,West,-7.98
207,Hybrid Device,5.5,73.9,73.87,Engineering,18-22,South,1.62
208,Tablet,5.6,74.58,72.57,Sciences,Under 18,West,-2.44
209,Desktop,5.2,68.05,78.23,Business,18-22,West,3.93
210,Desktop,6.0,50.53,78.52,Medical,23-30,Central,-6.88
211,Tablet,5.3,72.2,77.24,Business,18-22,East,0.33
212,Desktop,5.2,68.46,82.77,Medical,18-22,North,4.84
213,Tablet,5.0,83.8,75.01,Business,Under 18,South,-0.02
214,Smartphone,4.2,72.84,76.27,Sciences,18-22,South,-8.97
215,Tablet,5.5,59.97,72.54,Sciences,23-30,South,-1.17
216,Tablet,4.5,56.59,77.16,Engineering,23-30,North,-7.3
217,Desktop,5.6,72.63,76.87,Business,23-30,East,-9.54
218,Desktop,6.1,50.41,71.68,Business,23-30,West,-4.98
219,Laptop,7.0,74.9,74.74,Engineering,Under 18,South,-6.01
220,Laptop,5.4,78.87,78.52,Engineering,18-22,West,1.83
221,Smartphone,5.0,79.81,75.24,Sciences,Under 18,Central,-4.39
222,Laptop,6.4,63.32,73.95,Sciences,23-30,Central,0.99
223,Tablet,5.7,64.07,77.96,Business,18-22,Central,-9.76
224,Desktop,5.2,82.5,73.86,Sciences,Under 18,South,-9.78
225,Laptop,5.6,64.08,77.05,Sciences,18-22,North,-9.56
226,Laptop,5.1,56.21,77.36,Business,23-30,South,-6.71
227,Smartphone,3.7,54.8,75.15,Engineering,23-30,Central,-4.39
228,Smartphone,5.0,63.16,73.95,Business,18-22,Central,-0.88
229,Tablet,4.2,79.07,71.68,Arts,18-22,South,4.79
230,Desktop,6.1,65.05,78.94,Business,23-30,North,-4.68
231,Smartphone,3.0,79.57,66.79,Arts,Under 18,North,-9.17
232,Laptop,6.4,73.86,75.15,Business,23-30,West,-7.08
233,Desktop,5.4,64.61,66.19,Arts,18-22,East,3.47
234,Desktop,5.3,70.09,67.79,Arts,Under 18,Central,0.49
235,Laptop,5.7,64.97,76.86,Business,23-30,North,1.85
236,Smartphone,4.5,70.16,70.62,Sciences,18-22,Central,-8.14
237,Laptop,5.2,69.55,81.62,Medical,18-22,East,-7.98
238,Desktop,5.5,61.24,77.21,Sciences,18-22,Central,-8.32
239,Hybrid Device,5.0,76.82,74.69,Arts,Under 18,North,2.86
240,Hybrid Device,6.9,74.31,72.17,Business,Under 18,West,-6.85
241,Tablet,5.2,74.12,77.49,Business,Under 18,South,-0.35
242,Laptop,6.4,73.34,79.26,Business,Under 18,South,-2.26
243,Laptop,6.3,66.65,70.91,Business,18-22,North,-1.83
244,Tablet,4.3,67.06,79.14,Medical,18-22,North,-7.07
245,Tablet,5.2,74.63,81.19,Engineering,Under 18,East,-0.47
246,Tablet,4.3,84.68,67.03,Arts,Under 18,Central,-9.35
247,Desktop,5.8,78.65,84.34,Medical,18-22,East,4.9
248,Laptop,6.1,64.36,74.22,Sciences,23-30,South,-9.6
249,Desktop,6.1,74.53,73.0,Engineering,23-30,Central,-9.25
250,Tablet,4.2,79.82,76.5,Engineering,18-22,East,-5.13
251,Laptop,5.1,75.34,73.26,Business,Under 18,South,2.47
252,Desktop,6.6,76.68,77.82,Medical,Under 18,Central,-6.14
253,Desktop,6.5,79.18,74.33,Sciences,18-22,West,-2.92
254,Tablet,4.2,65.22,74.84,Business,23-30,West,-9.73
255,Laptop,5.3,64.26,74.82,Business,18-22,East,-8.82
256,Tablet,5.8,73.79,65.88,Arts,18-22,North,-0.88
257,Laptop,6.5,64.11,80.02,Engineering,18-22,Central,-7.08
258,Hybrid Device,7.0,75.09,73.85,Sciences,Under 18,East,0.41
259,Smartphone,3.5,73.41,80.21,Engineering,Under 18,North,1.78
260,Smartphone,4.0,73.67,83.25,Medical,Under 18,North,2.76
261,Smartphone,3.5,50.12,68.17,Arts,23-30,Central,-7.99
262,Tablet,5.2,77.61,70.04,Business,18-22,Central,-3.17
263,Hybrid Device,5.2,65.92,74.11,Arts,18-22,North,4.21
264,Laptop,5.3,52.16,77.61,Business,23-30,South,1.58
265,Desktop,5.1,71.3,66.07,Arts,Under 18,East,-8.25
266,Laptop,6.4,71.12,77.02,Business,18-22,Central,-2.46
267,Desktop,6.0,74.82,72.2,Engineering,23-30,North,3.84
268,Laptop,6.2,72.18,72.28,Engineering,Under 18,South,-3.4
269,Hybrid Device,6.8,71.49,77.26,Engineering,Under 18,West,2.56
270,Desktop,6.5,68.77,72.96,Engineering,18-22,North,-2.56
271,Tablet,4.9,78.45,74.64,Arts,Under 18,South,-8.4
272,Laptop,7.0,57.36,78.94,Business,23-30,West,-7.78
273,Laptop,5.9,74.54,78.5,Engineering,Under 18,South,-9.3
274,Desktop,5.2,68.49,65.64,Arts,18-22,Central,-7.07
275,Tablet,6.0,57.85,73.25,Business,23-30,North,3.4
276,Tablet,4.0,83.73,68.72,Arts,Under 18,West,-0.25
277,Hybrid Device,6.1,70.63,76.81,Engineering,Under 18,South,1.08
278,Tablet,4.6,73.52,76.69,Medical,Under 18,West,-0.68
279,Tablet,5.0,70.21,70.78,Arts,23-30,East,-4.2
280,Tablet,5.1,82.51,76.36,Engineering,Under 18,North,-6.75
281,Smartphone,3.5,62.23,77.58,Sciences,18-22,Central,3.88
282,Hybrid Device,6.1,74.34,79.36,Business,23-30,West,-2.28
283,Laptop,6.5,67.33,77.65,Engineering,23-30,South,-2.78
284,Desktop,5.5,74.09,75.15,Sciences,Under 18,West,4.94
285,Laptop,5.8,61.4,66.38,Arts,23-30,South,-4.24
286,Hybrid Device,5.5,65.94,67.23,Arts,18-22,West,2.81
287,Desktop,6.6,53.75,77.21,Sciences,23-30,Central,2.94
288,Hybrid Device,6.4,65.82,75.59,Sciences,18-22,Central,-6.51
289,Tablet,5.7,78.7,71.89,Business,Under 18,North,-8.58
290,Desktop,5.3,70.65,70.7,Arts,23-30,Central,4.63
291,Tablet,4.1,67.27,77.48,Sciences,18-22,West,-3.61
292,Laptop,5.2,75.22,78.45,Medical,Under 18,West,-9.97
293,Laptop,5.3,69.36,76.86,Medical,18-22,Central,-2.51
294,Desktop,6.1,66.11,77.54,Sciences,23-30,East,-0.71
295,Desktop,6.9,68.79,74.61,Business,23-30,West,1.64
296,Hybrid Device,5.7,66.54,69.17,Arts,18-22,North,4.14
297,Hybrid Device,6.9,78.8,77.68,Medical,Under 18,East,3.73
298,Tablet,4.1,75.84,77.13,Sciences,Under 18,Central,4.1
299,Desktop,6.9,80.75,76.76,Sciences,Under 18,South,-9.52
300,Laptop,5.4,72.47,76.03,Engineering,Under 18,West,0.68
301,Hybrid Device,6.8,65.14,70.24,Sciences,18-22,South,-6.61
302,Hybrid Device,5.1,60.65,74.47,Business,23-30,North,-7.19
303,Laptop,6.9,77.79,76.81,Medical,18-22,East,2.0
304,Hybrid Device,5.4,64.33,73.43,Engineering,23-30,South,-3.74
305,Tablet,4.6,74.13,78.93,Medical,23-30,North,3.75
306,Desktop,6.0,62.07,75.99,Medical,18-22,South,-9.36
307,Laptop,5.8,69.2,79.57,Business,18-22,South,2.03
308,Desktop,6.3,76.29,70.38,Sciences,Under 18,North,-7.95
309,Hybrid Device,6.9,65.01,74.01,Business,23-30,West,-7.35
310,Hybrid Device,6.2,82.18,71.3,Sciences,Under 18,South,-2.84
311,Laptop,6.4,82.62,78.89,Engineering,Under 18,North,-4.07
312,Tablet,4.2,73.4,70.79,Business,18-22,South,-2.71
313,Smartphone,4.3,79.62,75.47,Business,Under 18,West,4.1
314,Laptop,5.9,84.24,72.73,Arts,Under 18,North,-0.14
315,Smartphone,4.8,75.76,79.5,Business,Under 18,South,-5.65
316,Smartphone,3.8,76.66,71.99,Arts,18-22,Central,-7.41
317,Tablet,5.4,83.82,70.8,Sciences,Under 18,West,-3.7
318,Smartphone,3.5,77.37,70.71,Sciences,Under 18,South,-3.23
319,Smartphone,3.5,74.58,75.85,Sciences,18-22,East,-0.98
320,Tablet,4.8,67.54,67.15,Arts,18-22,North,-6.01
321,Smartphone,3.6,63.18,73.58,Sciences,18-22,South,1.51
322,Smartphone,3.5,64.66,84.77,Medical,23-30,West,-8.52
323,Smartphone,3.1,63.93,78.2,Business,18-22,West,-1.59
324,Laptop,6.7,61.44,73.47,Arts,23-30,East,-0.65
325,Laptop,5.1,77.46,76.89,Sciences,18-22,East,-6.9
326,Laptop,6.8,61.72,81.2,Medical,18-22,South,2.39
327,Tablet,4.3,60.61,77.44,Business,18-22,Central,-0.77
328,Hybrid Device,5.1,65.16,73.59,Business,23-30,West,-0.31
329,Smartphone,4.1,74.97,77.99,Sciences,Under 18,Central,-2.53
330,Smartphone,4.0,68.36,77.8,Medical,18-22,Central,3.64
331,Tablet,5.0,60.14,70.9,Arts,23-30,South,0.41
332,Smartphone,4.1,61.73,72.26,Sciences,18-22,North,-4.27
333,Laptop,5.6,70.05,71.12,Business,Under 18,North,-6.42
334,Hybrid Device,6.3,72.46,75.68,Business,23-30,North,-8.93
335,Desktop,6.0,64.36,73.53,Business,18-22,East,-7.52
336,Smartphone,3.7,68.52,74.67,Sciences,18-22,West,4.89
337,Laptop,6.7,79.44,77.59,Engineering,18-22,East,-3.9
338,Desktop,6.5,82.4,77.42,Engineering,Under 18,West,3.48
339,Hybrid Device,5.8,52.7,73.23,Engineering,23-30,West,-7.44
340,Desktop,6.7,70.17,79.4,Medical,18-22,West,-3.62
341,Laptop,6.8,74.6,76.5,Sciences,18-22,South,4.41
342,Desktop,6.1,67.46,73.15,Business,23-30,North,-8.63
343,Tablet,4.4,81.41,79.44,Medical,Under 18,East,-1.09
344,Desktop,6.8,76.86,76.94,Engineering,Under 18,East,3.79
345,Smartphone,3.4,72.64,73.63,Arts,Under 18,South,4.25
346,Smartphone,3.1,76.97,81.56,Medical,Under 18,West,2.69
347,Tablet,4.7,79.72,76.0,Medical,Under 18,North,2.84
348,Laptop,6.5,72.17,76.92,Sciences,18-22,Central,-0.22
349,Smartphone,4.8,61.41,83.32,Medical,18-22,Central,-6.69
350,Hybrid Device,6.3,61.3,76.03,Sciences,18-22,South,0.96
351,Smartphone,4.9,74.13,69.66,Arts,23-30,North,4.68
352,Smartphone,3.2,72.28,77.58,Business,Under 18,Central,-2.11
353,Laptop,5.1,57.36,74.79,Business,23-30,Central,-6.09
354,Desktop,6.2,81.51,79.37,Engineering,Under 18,East,-1.4
355,Smartphone,4.9,76.15,80.8,Engineering,Under 18,North,0.36
356,Tablet,5.0,54.54,73.91,Arts,23-30,Central,-6.88
357,Desktop,5.1,69.34,74.55,Business,18-22,East,0.79
358,Hybrid Device,5.4,64.22,80.59,Engineering,23-30,North,-1.19
359,Laptop,5.5,69.06,76.01,Medical,18-22,West,-0.81
360,Hybrid Device,5.7,83.78,70.81,Sciences,Under 18,North,-5.41
361,Desktop,5.1,65.69,77.48,Engineering,18-22,South,-7.67
362,Desktop,6.8,79.92,71.52,Arts,Under 18,East,-0.65
363,Desktop,6.0,71.68,71.53,Business,Under 18,West,-1.21
364,Hybrid Device,6.3,67.85,69.72,Arts,18-22,East,-4.93
365,Desktop,5.1,81.11,70.75,Sciences,Under 18,East,-5.56
366,Hybrid Device,5.1,64.5,74.82,Sciences,18-22,Central,-4.79
367,Desktop,6.2,64.74,73.55,Arts,23-30,North,-2.65
368,Tablet,5.8,72.3,79.38,Engineering,Under 18,East,4.62
369,Desktop,6.1,71.54,75.78,Engineering,Under 18,East,1.45
370,Hybrid Device,6.8,63.08,79.94,Business,23-30,South,2.78
371,Smartphone,4.6,80.13,76.63,Business,Under 18,South,-2.42
372,Desktop,5.2,52.83,83.15,Medical,23-30,South,-2.11
373,Smartphone,3.4,72.94,81.7,Medical,23-30,East,-6.94
374,Tablet,5.3,73.39,79.89,Business,Under 18,West,0.82
375,Laptop,5.9,53.0,83.21,Medical,23-30,North,-3.68
376,Tablet,4.6,55.07,70.19,Arts,23-30,East,1.14
377,Desktop,5.8,54.24,75.67,Engineering,23-30,Central,-3.86
378,Smartphone,3.9,71.36,81.82,Medical,Under 18,West,-8.37
379,Smartphone,4.8,69.95,80.9,Medical,23-30,West,-7.4
380,Hybrid Device,5.2,69.91,71.29,Arts,18-22,North,2.17
381,Smartphone,3.6,67.77,72.74,Sciences,18-22,West,-6.12
382,Hybrid Device,6.1,73.77,74.29,Business,23-30,North,-6.03
383,Laptop,6.4,67.42,70.58,Arts,18-22,West,3.94
384,Desktop,6.3,72.5,76.71,Sciences,Under 18,North,-0.14
385,Hybrid Device,6.9,56.85,72.63,Arts,23-30,South,-8.29
386,Laptop,6.6,73.58,73.19,Engineering,Under 18,South,-7.85
387,Smartphone,4.1,69.97,67.46,Arts,18-22,West,-5.91
388,Smartphone,3.4,65.83,65.27,Arts,18-22,West,-1.09
389,Laptop,5.9,70.32,72.08,Engineering,18-22,North,1.29
390,Smartphone,4.4,73.39,72.24,Business,18-22,North,-5.88
391,Laptop,6.7,81.66,76.39,Sciences,Under 18,East,3.06
392,Hybrid Device,6.9,67.75,84.05,Medical,23-30,South,-8.36
393,Hybrid Device,6.2,73.08,73.92,Business,Under 18,East,-6.89
394,Laptop,6.1,52.9,70.63,Arts,23-30,East,4.56
395,Hybrid Device,5.0,70.85,82.06,Medical,18-22,Central,-7.98
396,Hybrid Device,5.1,63.98,81.53,Engineering,18-22,North,3.32
